judul,kategori,date,source
"Ahmad Dhani Mimpi Buruk, Dewa 19 Ditinggalkan Saat Once Gantikan Ari Lasso",Musik,"15/01/2020, 21:58 WIB",kompas.com
Tigabelas Tonbesi Rilis Single Perdana dan Video Klip Sesak Terkepal,Musik,"15/01/2020, 21:43 WIB",kompas.com
Wika Salim Ungkap Hubungannya dengan Gofar Hilman,Seleb,"15/01/2020, 21:33 WIB",kompas.com
"Ngaku Baladewa Sejati, Dul Jaelani Bikin Lagu untuk Dewa 19",Seleb,"15/01/2020, 21:29 WIB",kompas.com
"Ingin Bertemu, Ahmad Dhani Mengaku Belum Sempat Kunjungi Prabowo",Seleb,"15/01/2020, 21:11 WIB",kompas.com
"Eza Gionino Cabut Surat Maaf Penjual Ikan Arwana, Qory Supiandi ",Seleb,"14/01/2020, 22:53 WIB",kompas.com
"Leonardo DiCaprio Donasikan Rp 41,2 Miliar untuk Atasi Kebakaran di Australia",Seleb,"10/01/2020, 22:19 WIB",kompas.com
Dua Bintang Gundala Kampanyekan Anti-nonton Film Bajakan,Film,"16/01/2020, 21:45 WIB",kompas.com
Bibi Ardiansyah Berikan Mahar Cincin Berlian kepada Vanessa Angel,Musik,"11/01/2020, 23:17 WIB",kompas.com
Setelah Satu Tahun BLACKPINK Datang Lagi ke Jakarta,Musik,"13/01/2020, 23:28 WIB",kompas.com
Anang Salah Sebut Nama Kontestan dan Judul Lagu di Indonesian Idol X,Seleb,"13/01/2020, 23:06 WIB",kompas.com
"Kangen Ria Irawan, Mayky Wongkar Kenang Momentum Ini",Seleb,"12/01/2020, 18:45 WIB",kompas.com
"Paula Verhoeven Baru Lahirkan Kiano, Baim Wong Ingin Tambah Momongan Lagi",Seleb,"12/01/2020, 18:18 WIB",kompas.com
"Sambil Menangis, Ibunda Restui Marcell Darwin Menikah dengan Nabila Faisal",Seleb,"12/01/2020, 17:44 WIB",kompas.com
"Tedy Pardiyana Selesai Diperiksa, Polisi Tunggu Hasil Otopsi Jenazah Mantan Istri Sule",Seleb,"12/01/2020, 17:28 WIB",kompas.com
Marcell Darwin Ungkap Alasan Mantap Nikahi Nabila Faisal,Seleb,"12/01/2020, 17:03 WIB",kompas.com
"Detik-detik Akad Nikah dengan Nabila Faisal, Marcell Darwin Deg-degan",Seleb,"12/01/2020, 16:38 WIB",kompas.com
Keluarga Gelar Tahlilan 7 Hari Meninggalnya Ria Irawan,Seleb,"12/01/2020, 16:32 WIB",kompas.com
Angga Dwimas Sasongko Berharap Bioskop Sediakan Akses untuk Difabel,Film,"12/01/2020, 16:21 WIB",kompas.com
"Beri Dukungan, Taeyeon SNSD Kunjungi Key SHINEE di Markas Wajib Militer",Seleb,"15/01/2020, 21:01 WIB",kompas.com
